ALCALINAS_BOGOTÁ,ALCALINAS_CENTRO,ALCALINAS_NORTE,ALCALINAS_SANTANDER,ALCALINAS_SUR,BOMBILLOS_BOGOTÁ,BOMBILLOS_CENTRO,BOMBILLOS_NORTE,BOMBILLOS_SANTANDER,BOMBILLOS_SUR,ENCENDEDORES_BOGOTÁ,ENCENDEDORES_CENTRO,ENCENDEDORES_NORTE,ENCENDEDORES_SANTANDER,ENCENDEDORES_SUR,MANGANESO_BOGOTÁ,MANGANESO_CENTRO,MANGANESO_NORTE,MANGANESO_SANTANDER,MANGANESO_SUR,OTROS_BOGOTÁ,OTROS_CENTRO,OTROS_NORTE,OTROS_SANTANDER,OTROS_SUR,TERCEROS_BOGOTÁ,TERCEROS_CENTRO,TERCEROS_NORTE,TERCEROS_SANTANDER,TERCEROS_SUR
0.0,371.0,0.0,60.0,94.0,180.0,38.0,0.0,0.0,0.0,960.0,746.0,0.0,44.0,160.0,600.0,5438.0,0.0,1270.0,2330.0,0.0,148.0,0.0,5.0,56.0,0.0,0.0,0.0,0.0,0.0
12.0,381.0,10.0,80.0,240.0,30.0,78.0,0.0,0.0,18.0,0.0,156.0,0.0,0.0,176.0,0.0,2122.0,200.0,40.0,414.0,4.0,8.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1530.0,40.0,250.0,140.0,0.0,80.0,0.0,30.0,32.0,0.0,370.0,40.0,660.0,132.0,40.0,10623.0,2680.0,40.0,606.0,15.0,122.0,25.0,8.0,98.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,190.0,470.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,186.0,0.0,20.0,315.0,0.0,52.0,0.0,3.0,88.0,50.0,667.0,0.0,120.0,180.0,240.0,1412.0,0.0,54.0,1626.0,0.0,93.0,6.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0
0.0,775.0,160.0,120.0,60.0,0.0,42.0,0.0,0.0,0.0,120.0,621.0,0.0,24.0,44.0,0.0,3360.0,610.0,10.0,248.0,0.0,143.0,72.0,16.0,30.0,0.0,0.0,0.0,0.0,0.0
298.0,801.0,80.0,10.0,100.0,108.0,14.0,12.0,0.0,0.0,25.0,122.0,0.0,0.0,6.0,0.0,2658.0,200.0,0.0,70.0,0.0,23.0,15.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
10.0,2339.0,30.0,10.0,105.0,0.0,244.0,0.0,0.0,30.0,0.0,760.0,40.0,212.0,77.0,0.0,11766.0,558.0,970.0,390.0,0.0,207.0,51.0,36.0,45.0,0.0,0.0,0.0,0.0,0.0
0.0,440.0,30.0,67.0,385.0,0.0,68.0,25.0,24.0,6.0,0.0,360.0,280.0,324.0,988.0,0.0,4943.0,1810.0,168.0,2560.0,0.0,113.0,35.0,28.0,44.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,50.0,24.0,0.0,0.0,0.0,0.0,0.0
19.0,206.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,48.0,80.0,45.0,0.0,0.0,40.0,16.0,872.0,0.0,80.0,3268.0,55.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,1649.0,0.0,60.0,400.0,90.0,75.0,0.0,20.0,80.0,240.0,1076.0,0.0,288.0,648.0,40.0,9112.0,0.0,130.0,1912.0,39.0,265.0,0.0,35.0,78.0,0.0,0.0,0.0,0.0,0.0
186.0,3168.0,30.0,300.0,532.0,33.0,321.0,0.0,0.0,38.0,452.0,344.0,180.0,96.0,670.0,260.0,6454.0,200.0,1140.0,2164.0,119.0,468.0,44.0,2.0,135.0,0.0,0.0,0.0,0.0,0.0
0.0,843.0,20.0,472.0,250.0,0.0,264.0,0.0,30.0,36.0,12.0,1154.0,0.0,424.0,115.0,32.0,11240.0,60.0,2822.0,200.0,0.0,364.0,0.0,135.0,216.0,0.0,0.0,0.0,0.0,0.0
0.0,970.0,0.0,150.0,66.0,0.0,181.0,0.0,0.0,140.0,44.0,2034.0,0.0,0.0,72.0,10.0,12372.0,0.0,1324.0,833.0,20.0,482.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0
66.0,343.0,60.0,0.0,124.0,0.0,20.0,0.0,0.0,78.0,122.0,274.0,0.0,0.0,788.0,40.0,3648.0,152.0,30.0,1567.0,0.0,32.0,30.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0
20.0,350.0,0.0,34.0,183.0,0.0,106.0,0.0,5.0,96.0,68.0,441.0,0.0,1148.0,408.0,330.0,7974.0,420.0,316.0,2024.0,0.0,72.0,0.0,208.0,66.0,0.0,0.0,0.0,0.0,0.0
11.0,818.0,0.0,60.0,306.0,0.0,161.0,0.0,0.0,51.0,44.0,1746.0,160.0,60.0,310.0,62.0,3544.0,750.0,293.0,2380.0,19.0,353.0,0.0,178.0,32.0,0.0,0.0,0.0,0.0,0.0
124.0,653.0,30.0,30.0,181.0,0.0,39.0,0.0,0.0,27.0,1008.0,879.0,44.0,74.0,152.0,864.0,6709.0,538.0,190.0,730.0,0.0,186.0,5.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,311.0,140.0,120.0,50.0,0.0,12.0,30.0,0.0,30.0,23.0,3312.0,502.0,0.0,5.0,52.0,1906.0,5420.0,0.0,1903.0,28.0,67.0,98.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0
0.0,82.0,20.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,556.0,20.0,0.0,0.0,0.0,245.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,110.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,544.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,1215.0,0.0,0.0,20.0,22.0,30.0,0.0,0.0,0.0,816.0,595.0,0.0,0.0,384.0,57.0,15874.0,0.0,0.0,460.0,2.0,51.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,2870.0,0.0,15.0,211.0,0.0,66.0,0.0,6.0,55.0,0.0,812.0,0.0,40.0,1704.0,0.0,9940.0,0.0,0.0,1348.0,0.0,141.0,0.0,83.0,16.0,0.0,0.0,0.0,0.0,0.0
0.0,1569.0,60.0,95.0,592.0,0.0,32.0,0.0,0.0,12.0,0.0,1164.0,0.0,292.0,143.0,20.0,9467.0,2080.0,124.0,852.0,20.0,150.0,0.0,230.0,121.0,0.0,0.0,0.0,0.0,0.0
0.0,998.0,150.0,340.0,40.0,0.0,20.0,66.0,20.0,0.0,0.0,1404.0,40.0,796.0,222.0,0.0,6464.0,40.0,856.0,100.0,0.0,106.0,16.0,28.0,111.0,0.0,0.0,0.0,0.0,0.0
35.0,30.0,20.0,100.0,136.0,4.0,0.0,40.0,0.0,0.0,116.0,66.0,0.0,0.0,784.0,25.0,240.0,10810.0,0.0,460.0,0.0,0.0,6.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,80.0,0.0,0.0,62.0,0.0,6.0,0.0,0.0,0.0,0.0,128.0,94.0,0.0,111.0,0.0,2796.0,260.0,20.0,3480.0,0.0,114.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1126.0,0.0,30.0,250.0,0.0,209.0,0.0,0.0,20.0,0.0,1336.0,0.0,108.0,484.0,100.0,4736.0,0.0,174.0,936.0,0.0,282.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
25.0,1665.0,180.0,120.0,280.0,4.0,193.0,0.0,2.0,109.0,0.0,1630.0,0.0,312.0,287.0,25.0,16143.0,2820.0,920.0,1200.0,20.0,353.0,0.0,306.0,43.0,0.0,0.0,0.0,0.0,0.0
55.0,1379.0,96.0,315.0,340.0,3.0,91.0,0.0,0.0,80.0,169.0,2068.0,176.0,524.0,870.0,40.0,8406.0,20.0,1186.0,1852.0,353.0,450.0,26.0,92.0,71.0,0.0,0.0,0.0,0.0,0.0
12.0,2374.0,0.0,308.0,100.0,0.0,130.0,10.0,48.0,0.0,24.0,2344.0,6.0,640.0,151.0,12.0,11918.0,78.0,1860.0,5708.0,0.0,464.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,40.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,925.0,0.0,10.0,267.0,4.0,114.0,0.0,0.0,68.0,48.0,350.0,0.0,0.0,856.0,45.0,6228.0,0.0,1920.0,2904.0,0.0,29.0,0.0,55.0,264.0,0.0,0.0,0.0,0.0,0.0
20.0,901.0,0.0,20.0,769.0,0.0,96.0,0.0,0.0,28.0,0.0,1859.0,0.0,0.0,452.0,20.0,4046.0,180.0,120.0,6006.0,0.0,381.0,0.0,131.0,44.0,0.0,0.0,0.0,0.0,0.0
0.0,1443.0,140.0,135.0,264.0,0.0,144.0,0.0,0.0,4.0,0.0,806.0,98.0,196.0,336.0,0.0,20970.0,590.0,162.0,854.0,0.0,504.0,55.0,49.0,284.0,0.0,0.0,0.0,0.0,0.0
60.0,616.0,113.0,170.0,193.0,0.0,30.0,12.0,0.0,39.0,0.0,898.0,60.0,150.0,524.0,114.0,7075.0,12314.0,2034.0,1850.0,72.0,198.0,95.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0
10.0,572.0,51.0,0.0,45.0,0.0,42.0,0.0,0.0,12.0,0.0,1368.0,129.0,0.0,143.0,60.0,2426.0,980.0,0.0,240.0,0.0,218.0,37.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,40.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,440.0,0.0,0.0,194.0,22.0,114.0,0.0,0.0,6.0,131.0,556.0,88.0,120.0,44.0,49.0,2964.0,60.0,0.0,326.0,6.0,57.0,0.0,270.0,2.0,0.0,0.0,0.0,0.0,0.0
10.0,563.0,0.0,52.0,40.0,0.0,80.0,0.0,0.0,49.0,0.0,546.0,0.0,0.0,252.0,32.0,12178.0,0.0,10.0,194.0,0.0,59.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0
10.0,532.0,90.0,263.0,330.0,0.0,120.0,0.0,44.0,48.0,0.0,818.0,40.0,872.0,1156.0,3.0,6636.0,650.0,120.0,630.0,0.0,112.0,105.0,117.0,37.0,0.0,0.0,0.0,0.0,0.0
0.0,1617.0,0.0,21.0,55.0,0.0,214.0,0.0,0.0,24.0,0.0,669.0,20.0,24.0,94.0,0.0,6946.0,7320.0,250.0,338.0,50.0,256.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0
5.0,534.0,80.0,0.0,50.0,0.0,54.0,0.0,12.0,24.0,0.0,236.0,0.0,204.0,324.0,850.0,9034.0,2730.0,0.0,134.0,50.0,20.0,40.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,541.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,3112.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0
45.0,342.0,180.0,0.0,180.0,4.0,30.0,0.0,0.0,0.0,24.0,486.0,0.0,76.0,46.0,58.0,468.0,180.0,0.0,2310.0,10.0,165.0,0.0,16.0,44.0,0.0,0.0,0.0,0.0,0.0
0.0,998.0,0.0,69.0,250.0,0.0,120.0,0.0,0.0,12.0,0.0,1137.0,0.0,3.0,1744.0,12.0,6399.0,0.0,70.0,2480.0,5.0,332.0,0.0,61.0,17.0,0.0,0.0,0.0,0.0,0.0
125.0,495.0,0.0,102.0,605.0,4.0,125.0,0.0,30.0,12.0,124.0,1176.0,0.0,200.0,200.0,45.0,3153.0,0.0,280.0,1450.0,24.0,94.0,0.0,69.0,41.0,0.0,0.0,0.0,0.0,0.0
0.0,1292.0,6.0,150.0,142.0,0.0,88.0,0.0,3.0,36.0,400.0,1742.0,320.0,120.0,558.0,10.0,10748.0,120.0,242.0,8056.0,6.0,167.0,10.0,46.0,52.0,0.0,0.0,0.0,0.0,0.0
0.0,809.0,58.0,160.0,0.0,78.0,86.0,0.0,0.0,0.0,48.0,1942.0,0.0,393.0,0.0,0.0,14248.0,830.0,5132.0,1250.0,0.0,72.0,5.0,124.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,80.0,0.0,21.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,180.0,0.0,60.0,0.0,0.0,8.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,118.0,60.0,105.0,121.0,0.0,81.0,0.0,0.0,47.0,0.0,62.0,0.0,0.0,504.0,0.0,458.0,1880.0,0.0,696.0,4.0,31.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0
0.0,470.0,0.0,20.0,92.0,0.0,72.0,0.0,0.0,35.0,0.0,168.0,0.0,1060.0,74.0,0.0,3556.0,0.0,10.0,334.0,0.0,82.0,0.0,152.0,37.0,0.0,0.0,0.0,0.0,0.0
0.0,774.0,0.0,104.0,228.0,0.0,186.0,0.0,4.0,34.0,0.0,351.0,376.0,350.0,704.0,0.0,8732.0,0.0,354.0,3442.0,0.0,291.0,0.0,38.0,192.0,0.0,0.0,0.0,0.0,0.0
650.0,1087.0,10.0,20.0,362.0,0.0,324.0,0.0,2.0,46.0,0.0,2302.0,20.0,24.0,98.0,360.0,8814.0,400.0,594.0,1580.0,0.0,417.0,0.0,46.0,18.0,0.0,0.0,0.0,0.0,0.0
90.0,934.0,0.0,290.0,262.0,9.0,194.0,0.0,10.0,16.0,52.0,560.0,40.0,488.0,776.0,1320.0,8850.0,220.0,0.0,3904.0,11.0,175.0,264.0,27.0,224.0,0.0,0.0,0.0,0.0,0.0
30.0,80.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,20.0,22.0,0.0,0.0,0.0,0.0,60.0,350.0,0.0,80.0,960.0,8.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0
