bill_date,ALCALINAS,BOMBILLOS,ENCENDEDORES,MANGANESO,OTROS,TERCEROS,month,year,year_month,date
2018-03-23 05:00:00+00:00,1538.0,106.0,2462.0,7460.0,263.0,0.0,3,2018,2018-03-01,2018-03-23
2018-03-24 05:00:00+00:00,321.0,44.0,966.0,11535.0,34.0,0.0,3,2018,2018-03-01,2018-03-24
2018-03-26 05:00:00+00:00,0.0,0.0,0.0,10.0,137.0,0.0,3,2018,2018-03-01,2018-03-26
2018-03-27 05:00:00+00:00,10.0,0.0,44.0,96.0,13.0,0.0,3,2018,2018-03-01,2018-03-27
2018-04-02 05:00:00+00:00,142.0,6.0,333.0,6556.0,127.0,0.0,4,2018,2018-04-01,2018-04-02
2018-04-03 05:00:00+00:00,1406.0,229.0,1928.0,5946.0,316.0,0.0,4,2018,2018-04-01,2018-04-03
2018-04-04 05:00:00+00:00,2270.0,308.0,2229.0,21108.0,722.0,0.0,4,2018,2018-04-01,2018-04-04
2018-04-05 05:00:00+00:00,2185.0,174.0,3808.0,11504.0,993.0,0.0,4,2018,2018-04-01,2018-04-05
2018-04-06 05:00:00+00:00,2794.0,188.0,3165.0,19576.0,700.0,0.0,4,2018,2018-04-01,2018-04-06
2018-04-07 05:00:00+00:00,60.0,132.0,12.0,322.0,76.0,0.0,4,2018,2018-04-01,2018-04-07
2018-04-09 05:00:00+00:00,1227.0,186.0,1254.0,11097.0,348.0,0.0,4,2018,2018-04-01,2018-04-09
2018-04-10 05:00:00+00:00,1710.0,124.0,2311.0,10372.0,556.0,0.0,4,2018,2018-04-01,2018-04-10
2018-04-11 05:00:00+00:00,1982.0,148.0,1436.0,22576.0,892.0,0.0,4,2018,2018-04-01,2018-04-11
2018-04-12 05:00:00+00:00,1152.0,81.0,1632.0,23387.0,426.0,0.0,4,2018,2018-04-01,2018-04-12
2018-04-13 05:00:00+00:00,678.0,54.0,1640.0,3706.0,291.0,0.0,4,2018,2018-04-01,2018-04-13
2018-04-14 05:00:00+00:00,70.0,0.0,152.0,40.0,31.0,0.0,4,2018,2018-04-01,2018-04-14
2018-04-16 05:00:00+00:00,669.0,142.0,939.0,3399.0,337.0,0.0,4,2018,2018-04-01,2018-04-16
2018-04-17 05:00:00+00:00,665.0,129.0,798.0,12414.0,85.0,0.0,4,2018,2018-04-01,2018-04-17
2018-04-18 05:00:00+00:00,1225.0,212.0,2886.0,8039.0,371.0,0.0,4,2018,2018-04-01,2018-04-18
2018-04-19 05:00:00+00:00,1693.0,238.0,807.0,14854.0,326.0,0.0,4,2018,2018-04-01,2018-04-19
2018-04-20 05:00:00+00:00,669.0,90.0,764.0,12748.0,180.0,0.0,4,2018,2018-04-01,2018-04-20
2018-04-21 05:00:00+00:00,541.0,23.0,36.0,3112.0,76.0,0.0,4,2018,2018-04-01,2018-04-21
2018-04-23 05:00:00+00:00,747.0,34.0,632.0,3016.0,235.0,0.0,4,2018,2018-04-01,2018-04-23
2018-04-24 05:00:00+00:00,1317.0,132.0,2908.0,9001.0,427.0,0.0,4,2018,2018-04-01,2018-04-24
2018-04-25 05:00:00+00:00,1327.0,171.0,1700.0,4928.0,228.0,0.0,4,2018,2018-04-01,2018-04-25
2018-04-26 05:00:00+00:00,1601.0,127.0,3140.0,19176.0,281.0,0.0,4,2018,2018-04-01,2018-04-26
2018-04-27 05:00:00+00:00,1027.0,164.0,2383.0,21460.0,205.0,0.0,4,2018,2018-04-01,2018-04-27
2018-04-28 05:00:00+00:00,101.0,6.0,252.0,240.0,104.0,0.0,4,2018,2018-04-01,2018-04-28
2018-04-29 05:00:00+00:00,20.0,0.0,12.0,48.0,0.0,0.0,4,2018,2018-04-01,2018-04-29
2018-04-30 05:00:00+00:00,404.0,128.0,566.0,3034.0,68.0,0.0,4,2018,2018-04-01,2018-04-30
2018-05-01 05:00:00+00:00,582.0,107.0,1302.0,3900.0,271.0,0.0,5,2018,2018-05-01,2018-05-01
2018-05-02 05:00:00+00:00,1116.0,224.0,1781.0,12528.0,521.0,0.0,5,2018,2018-05-01,2018-05-02
2018-05-03 05:00:00+00:00,2129.0,372.0,2444.0,11748.0,481.0,0.0,5,2018,2018-05-01,2018-05-03
2018-05-04 05:00:00+00:00,1576.0,229.0,1916.0,14294.0,701.0,0.0,5,2018,2018-05-01,2018-05-04
2018-05-05 05:00:00+00:00,110.0,34.0,22.0,1450.0,32.0,0.0,5,2018,2018-05-01,2018-05-05
2018-05-07 05:00:00+00:00,748.0,101.0,739.0,3526.0,35.0,0.0,5,2018,2018-05-01,2018-05-07
2018-05-08 05:00:00+00:00,630.0,182.0,2034.0,5779.0,254.0,0.0,5,2018,2018-05-01,2018-05-08
2018-05-09 05:00:00+00:00,1845.0,333.0,1441.0,8841.0,252.0,0.0,5,2018,2018-05-01,2018-05-09
2018-05-10 05:00:00+00:00,1293.0,251.0,691.0,13998.0,444.0,0.0,5,2018,2018-05-01,2018-05-10
2018-05-11 05:00:00+00:00,767.0,63.0,156.0,28218.0,178.0,0.0,5,2018,2018-05-01,2018-05-11
2018-05-14 05:00:00+00:00,0.0,20.0,0.0,10.0,0.0,0.0,5,2018,2018-05-01,2018-05-14
2018-05-15 05:00:00+00:00,283.0,38.0,838.0,3788.0,243.0,0.0,5,2018,2018-05-01,2018-05-15
2018-05-16 05:00:00+00:00,2794.0,251.0,1033.0,18508.0,321.0,0.0,5,2018,2018-05-01,2018-05-16
2018-05-17 05:00:00+00:00,1900.0,244.0,2588.0,16493.0,650.0,0.0,5,2018,2018-05-01,2018-05-17
2018-05-18 05:00:00+00:00,2163.0,309.0,1707.0,25255.0,699.0,0.0,5,2018,2018-05-01,2018-05-18
2018-05-19 05:00:00+00:00,1445.0,168.0,1209.0,26923.0,184.0,0.0,5,2018,2018-05-01,2018-05-19
2018-05-21 05:00:00+00:00,793.0,129.0,933.0,4416.0,522.0,0.0,5,2018,2018-05-01,2018-05-21
2018-05-22 05:00:00+00:00,805.0,230.0,834.0,16190.0,643.0,0.0,5,2018,2018-05-01,2018-05-22
2018-05-23 05:00:00+00:00,1359.0,296.0,1970.0,13703.0,1007.0,0.0,5,2018,2018-05-01,2018-05-23
2018-05-24 05:00:00+00:00,1341.0,212.0,1600.0,4088.0,297.0,0.0,5,2018,2018-05-01,2018-05-24
2018-05-25 05:00:00+00:00,705.0,155.0,683.0,5346.0,256.0,0.0,5,2018,2018-05-01,2018-05-25
2018-05-26 05:00:00+00:00,0.0,0.0,20.0,0.0,3.0,0.0,5,2018,2018-05-01,2018-05-26
2018-05-28 05:00:00+00:00,1251.0,311.0,518.0,2818.0,138.0,0.0,5,2018,2018-05-01,2018-05-28
2018-05-29 05:00:00+00:00,859.0,573.0,1878.0,4036.0,325.0,0.0,5,2018,2018-05-01,2018-05-29
2018-05-30 05:00:00+00:00,1622.0,316.0,868.0,12728.0,329.0,0.0,5,2018,2018-05-01,2018-05-30
2018-05-31 05:00:00+00:00,898.0,438.0,1073.0,4880.0,238.0,0.0,5,2018,2018-05-01,2018-05-31
2018-06-01 05:00:00+00:00,1040.0,269.0,2398.0,19964.0,336.0,0.0,6,2018,2018-06-01,2018-06-01
2018-06-02 05:00:00+00:00,450.0,24.0,48.0,2082.0,48.0,0.0,6,2018,2018-06-01,2018-06-02
2018-06-04 05:00:00+00:00,50.0,0.0,26.0,112.0,0.0,0.0,6,2018,2018-06-01,2018-06-04
2018-06-05 05:00:00+00:00,465.0,176.0,710.0,4393.0,793.0,0.0,6,2018,2018-06-01,2018-06-05
2018-06-06 05:00:00+00:00,1105.0,644.0,1640.0,19667.0,254.0,0.0,6,2018,2018-06-01,2018-06-06
2018-06-07 05:00:00+00:00,1235.0,382.0,2459.0,8520.0,570.0,0.0,6,2018,2018-06-01,2018-06-07
2018-06-08 05:00:00+00:00,1903.0,423.0,3128.0,13103.0,489.0,0.0,6,2018,2018-06-01,2018-06-08
2018-06-09 05:00:00+00:00,380.0,156.0,1090.0,5048.0,142.0,0.0,6,2018,2018-06-01,2018-06-09
2018-06-10 05:00:00+00:00,20.0,8.0,3.0,180.0,26.0,0.0,6,2018,2018-06-01,2018-06-10
2018-06-11 05:00:00+00:00,340.0,14.0,0.0,2410.0,27.0,0.0,6,2018,2018-06-01,2018-06-11
2018-06-12 05:00:00+00:00,1491.0,212.0,1582.0,8812.0,286.0,0.0,6,2018,2018-06-01,2018-06-12
2018-06-13 05:00:00+00:00,1571.0,377.0,2922.0,22650.0,698.0,0.0,6,2018,2018-06-01,2018-06-13
2018-06-14 05:00:00+00:00,2584.0,201.0,881.0,11715.0,622.0,0.0,6,2018,2018-06-01,2018-06-14
2018-06-15 05:00:00+00:00,993.0,260.0,2152.0,16765.0,632.0,0.0,6,2018,2018-06-01,2018-06-15
2018-06-16 05:00:00+00:00,681.0,175.0,305.0,11786.0,333.0,0.0,6,2018,2018-06-01,2018-06-16
2018-06-18 05:00:00+00:00,666.0,294.0,592.0,4437.0,312.0,0.0,6,2018,2018-06-01,2018-06-18
2018-06-19 05:00:00+00:00,1263.0,368.0,592.0,9081.0,372.0,0.0,6,2018,2018-06-01,2018-06-19
2018-06-20 05:00:00+00:00,1777.0,636.0,840.0,12675.0,426.0,0.0,6,2018,2018-06-01,2018-06-20
2018-06-21 05:00:00+00:00,1618.0,542.0,1242.0,10230.0,808.0,0.0,6,2018,2018-06-01,2018-06-21
2018-06-22 05:00:00+00:00,653.0,81.0,150.0,5152.0,251.0,0.0,6,2018,2018-06-01,2018-06-22
2018-06-23 05:00:00+00:00,124.0,54.0,152.0,4574.0,64.0,0.0,6,2018,2018-06-01,2018-06-23
2018-06-25 05:00:00+00:00,167.0,86.0,375.0,9179.0,185.0,0.0,6,2018,2018-06-01,2018-06-25
2018-06-26 05:00:00+00:00,3073.0,545.0,1317.0,18091.0,584.0,0.0,6,2018,2018-06-01,2018-06-26
2018-06-27 05:00:00+00:00,1522.0,221.0,1375.0,7135.0,425.0,0.0,6,2018,2018-06-01,2018-06-27
2018-06-28 05:00:00+00:00,1579.0,369.0,631.0,35567.0,442.0,0.0,6,2018,2018-06-01,2018-06-28
2018-06-29 05:00:00+00:00,1283.0,399.0,500.0,14127.0,604.0,0.0,6,2018,2018-06-01,2018-06-29
2018-06-30 05:00:00+00:00,400.0,60.0,814.0,5018.0,32.0,0.0,6,2018,2018-06-01,2018-06-30
2018-07-01 05:00:00+00:00,0.0,0.0,0.0,120.0,6.0,0.0,7,2018,2018-07-01,2018-07-01
2018-07-02 05:00:00+00:00,180.0,0.0,0.0,1020.0,0.0,0.0,7,2018,2018-07-01,2018-07-02
